"filename", "language", "HTML", "JavaScript", "CSS", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\tushar\Desktop\Price Tracker\.env", "Properties", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\tushar\Desktop\Price Tracker\app.js", "JavaScript", 0, 76, 0, 0, 0, 2, 30, 108
"c:\Users\tushar\Desktop\Price Tracker\controllers\auth.js", "JavaScript", 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\tushar\Desktop\Price Tracker\controllers\items.js", "JavaScript", 0, 171, 0, 0, 0, 0, 1, 172
"c:\Users\tushar\Desktop\Price Tracker\controllers\products.js", "JavaScript", 0, 50, 0, 0, 0, 0, 10, 60
"c:\Users\tushar\Desktop\Price Tracker\controllers\scrapper.js", "JavaScript", 0, 88, 0, 0, 0, 1, 18, 107
"c:\Users\tushar\Desktop\Price Tracker\controllers\track.js", "JavaScript", 0, 27, 0, 0, 0, 64, 10, 101
"c:\Users\tushar\Desktop\Price Tracker\db\connect.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\tushar\Desktop\Price Tracker\errors\bad-request.js", "JavaScript", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\tushar\Desktop\Price Tracker\errors\custom-api.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\tushar\Desktop\Price Tracker\errors\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\tushar\Desktop\Price Tracker\errors\not-found.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\tushar\Desktop\Price Tracker\errors\unauthenticated.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\tushar\Desktop\Price Tracker\left\index.html", "HTML", 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\tushar\Desktop\Price Tracker\left\login.html", "HTML", 47, 0, 0, 0, 0, 0, 10, 57
"c:\Users\tushar\Desktop\Price Tracker\left\product.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\tushar\Desktop\Price Tracker\left\signup.html", "HTML", 44, 0, 0, 0, 0, 0, 10, 54
"c:\Users\tushar\Desktop\Price Tracker\middlewares\authentication.js", "JavaScript", 0, 18, 0, 0, 0, 3, 3, 24
"c:\Users\tushar\Desktop\Price Tracker\middlewares\error-handler.js", "JavaScript", 0, 25, 0, 0, 0, 0, 3, 28
"c:\Users\tushar\Desktop\Price Tracker\middlewares\not-found.js", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\tushar\Desktop\Price Tracker\models\Product.js", "JavaScript", 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\tushar\Desktop\Price Tracker\models\User.js", "JavaScript", 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\tushar\Desktop\Price Tracker\package-lock.json", "JSON", 0, 0, 0, 2521, 0, 0, 1, 2522
"c:\Users\tushar\Desktop\Price Tracker\package.json", "JSON", 0, 0, 0, 39, 0, 0, 1, 40
"c:\Users\tushar\Desktop\Price Tracker\public\s2.js", "JavaScript", 0, 22, 0, 0, 0, 0, 6, 28
"c:\Users\tushar\Desktop\Price Tracker\public\script.js", "JavaScript", 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\tushar\Desktop\Price Tracker\public\style.css", "CSS", 0, 0, 127, 0, 0, 0, 27, 154
"c:\Users\tushar\Desktop\Price Tracker\routes\auth.js", "JavaScript", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\tushar\Desktop\Price Tracker\routes\products.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\tushar\Desktop\Price Tracker\routes\scrapper.js", "JavaScript", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\tushar\Desktop\Price Tracker\views\index.ejs", "HTML", 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\tushar\Desktop\Price Tracker\views\login.ejs", "HTML", 40, 0, 0, 0, 0, 0, 10, 50
"c:\Users\tushar\Desktop\Price Tracker\views\nav.ejs", "HTML", 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\tushar\Desktop\Price Tracker\views\product.ejs", "HTML", 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\tushar\Desktop\Price Tracker\views\products.ejs", "HTML", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\tushar\Desktop\Price Tracker\views\register.ejs", "HTML", 44, 0, 0, 0, 0, 0, 10, 54
"c:\Users\tushar\Desktop\Price Tracker\views\userProducts.ejs", "HTML", 24, 0, 0, 0, 0, 0, 5, 29
"Total", "-", 333, 643, 127, 2560, 3, 70, 204, 3940